"surveyID","bdod_0.5cm_mean","cec_0.5cm_mean","cfvo_0.5cm_mean","clay_0.5cm_mean","nitrogen_0.5cm_mean","ocd_0.5cm_mean","phh2o_0.5cm_mean","sand_0.5cm_mean","silt_0.5cm_mean","soc_0.5cm_mean","Water","Mangroves","Grassland","Buildings","Herb Wetland","Tree cover","Cropland","Bare","Shrubland","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Lat","Long","b1","Year","NPP_y","Npp_QC","Yearly_NDVI","Yearly_leaf_area_index_high_vegetation","Yearly_leaf_area_index_low_vegetation","Herb.Wetland.2","Tree.cover.2","Herb.Wetland.1","Tree.cover.1","Herb.Wetland","Tree.cover","col.names"
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2008,0.9545,18.5,5813.19318181818,1.83086186045736,2.41570071720386,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2009,1.0713,28,6184.55434782609,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2010,1.04045,14.5,5586.78409090909,1.88092900882446,2.44381231126775,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2011,1.06755,19.5,6126.81818181818,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2012,1.078375,9,6130.18181818182,1.8523022438341,2.42750715625052,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2013,1.045475,19.5,6133.38043478261,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2014,0.9613,9.5,5775.01136363636,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2015,0.94175,12.5,6267.92045454545,1.865480014407,2.43486302402473,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2016,1.014575,21.5,5826.54545454545,1.86229909382079,2.43325315494401,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2017,1.095375,21,6114.07954545455,1.87550863351135,2.44053695178679,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2018,1.0958,19.75,6356.55434782609,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2019,1.032875,14.5,5947.93181818182,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2020,1.0401,13.5,5919.86363636364,1.84241292270732,2.42214547432446,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2021,0.793575,20.25,5726.89772727273,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2022,0.92775,14.75,6177.36363636364,1.88512806946775,2.44626766372281,NA,NA,NA,NA,NA,NA,NA
